16,28,34,40,53,54,55
9,15,17,35,47,51,31
3,4,10,16,40,54,8
18,20,28,39,52,58,38
1,11,12,17,19,54,3
2,32,35,36,49,52,19
9,12,14,26,35,42,18
12,19,25,35,37,39,3
14,19,21,22,24,38,17
15,31,35,38,42,59,6
3,8,13,33,39,44,56
2,7,27,33,37,56,30
12,16,31,38,58,59,41
11,12,28,29,41,54,17
33,36,43,44,50,56,18
3,6,14,19,32,35,17
11,12,16,19,35,50,34
27,36,41,43,54,57,7
9,16,30,41,44,47,13
6,9,23,27,45,51,47
22,43,44,47,48,54,25
9,11,29,41,42,48,43
2,11,13,17,39,41,37
4,7,20,41,55,56,48
8,12,13,20,44,49,19
4,5,6,20,21,59,2
18,23,36,38,39,54,12
1,3,4,14,55,57,2
5,17,26,48,49,57,56
7,20,33,50,51,57,44
21,27,38,47,49,55,54
3,10,23,41,53,57,28
13,32,33,37,38,50,2
3,6,15,25,29,41,17
2,3,29,45,48,52,54
4,10,25,29,49,53,30
4,17,30,34,39,43,45
9,23,37,42,53,57,58
3,6,10,18,52,59,49
7,15,30,36,45,48,27
2,25,40,42,48,59,12
10,11,22,42,49,56,58
6,19,20,26,28,45,7
12,16,21,33,52,58,37
3,25,27,33,40,45,58
3,17,23,29,31,34,46
9,19,22,41,55,58,44
2,7,32,44,45,49,39
22,27,37,38,49,51,59
8,9,13,19,26,48,54
11,18,24,37,47,59,13
1,8,42,46,50,58,51
7,11,19,25,29,31,6
8,27,34,36,37,56,54
5,9,18,32,44,58,34
3,7,13,15,21,52,23
1,9,25,29,34,39,22
13,40,41,42,51,59,5
3,7,10,23,24,41,59
1,9,13,21,33,58,28
6,11,16,21,43,50,9
1,8,16,22,25,56,4
6,28,30,40,53,58,13
6,7,25,31,35,43,12
9,13,22,45,46,48,29
11,17,25,47,52,53,37
12,13,14,34,50,51,22
4,13,34,38,43,52,36
2,7,16,31,54,59,10
13,16,21,22,44,53,36
2,15,18,25,57,58,53
8,14,18,53,56,59,40
5,26,29,43,52,54,32
11,26,28,31,35,39,40
17,26,31,33,45,48,47
9,19,24,31,39,56,55
10,12,14,17,20,29,33
3,32,38,41,46,48,40
15,16,19,37,49,51,17
1,3,22,27,42,48,9
7,15,41,43,45,50,28
8,10,14,25,29,35,32
11,16,18,35,44,45,51
24,26,28,34,35,37,48
14,15,17,33,53,55,43
7,11,32,37,48,58,28
2,20,34,40,48,59,6
12,21,39,44,45,50,51
3,4,11,20,36,56,28
25,27,32,50,54,58,55
5,19,28,39,41,42,43
9,11,32,36,45,54,24
4,19,24,29,43,53,34
1,2,17,33,40,51,42
8,19,25,28,29,50,46
5,10,11,22,27,54,55
18,20,22,34,47,58,16
6,22,27,46,49,57,17
7,14,20,29,38,49,42
10,24,28,30,44,48,35
8,22,27,44,46,48,7
1,5,15,25,45,53,2
2,23,38,43,53,54,41
1,5,19,27,38,59,55
3,20,27,29,38,46,14
20,36,40,43,51,55,21
12,15,16,35,38,48,49
2,25,27,34,45,52,47
15,20,43,50,51,58,36
18,22,24,41,53,56,59
4,9,26,35,42,46,38
5,7,10,17,32,42,40
6,13,19,48,57,58,1
2,6,9,16,38,48,46
10,21,49,54,55,56,40
9,11,14,43,49,59,35
15,18,36,50,51,57,10
9,11,27,44,48,52,25
9,17,31,34,54,57,7
2,3,42,45,46,47,44
2,15,20,42,43,59,16
17,18,31,36,39,51,29
9,24,30,33,35,54,32
4,9,28,40,42,59,55
3,24,26,34,35,36,9
6,39,43,52,58,59,19
29,33,36,38,48,58,52
11,17,25,31,51,54,53
2,21,42,48,56,57,51
6,8,12,33,49,59,42
13,28,31,39,51,59,27
15,23,24,28,37,41,59
3,16,23,30,38,47,25
13,16,30,36,53,59,22
7,9,18,24,30,36,42
1,26,36,49,53,54,10
1,9,18,27,38,42,13
10,22,37,40,45,57,24
7,15,18,22,31,54,28
6,10,19,20,43,59,16
5,25,43,45,47,55,58
7,30,38,42,54,59,5
1,9,10,32,44,55,49
1,11,15,19,45,48,37
1,16,27,41,50,55,54
2,27,29,38,44,51,23
5,9,17,31,47,58,35
1,5,10,30,33,50,56
3,5,7,18,21,37,38
9,23,24,28,42,57,18
3,9,11,16,21,48,22
5,7,25,29,40,46,15
6,9,12,15,47,55,56
4,11,17,25,41,51,14
6,12,15,25,51,58,57
9,12,18,37,43,45,15
4,11,34,51,54,55,57
16,17,22,38,40,47,4
14,16,21,42,49,54,41
6,10,12,13,31,58,15
8,15,31,38,44,49,59
8,20,36,42,48,59,46
8,13,35,42,47,53,39
11,17,27,30,39,46,56
2,9,19,32,45,57,31
8,11,12,16,20,33,52
8,28,31,33,49,55,13
9,12,13,26,38,40,4
5,6,16,20,30,36,2
18,24,34,35,47,51,26
2,14,34,37,48,52,29
13,14,15,27,33,36,18
3,12,21,24,41,45,20
17,18,23,38,41,47,9
16,23,28,40,42,55,44
7,8,11,32,36,59,21
1,24,26,28,37,42,44
1,2,11,13,30,37,33
27,36,39,48,57,59,45
4,10,12,22,53,55,31
12,14,28,31,33,46,43
10,26,33,53,57,59,18
5,30,36,40,41,43,53
1,7,17,35,43,57,19
17,18,22,34,53,58,14
10,11,34,38,54,55,26
6,15,27,35,41,43,28
4,5,6,20,31,33,28
4,38,42,52,56,58,44
1,19,29,33,42,44,21
8,18,19,30,43,44,58
6,11,14,19,41,43,53
1,4,10,26,31,40,24
3,7,9,29,33,51,5
5,7,37,39,40,43,8
17,31,39,46,52,57,1
8,33,34,50,56,59,17
6,28,36,45,47,52,51
26,27,34,41,51,54,52
1,13,25,30,32,35,2
7,14,29,31,38,39,56
14,23,24,32,38,54,50
2,5,12,20,47,57,43
2,13,24,29,32,39,46
11,33,34,38,55,57,20
2,6,10,12,28,29,57
7,17,20,24,27,46,21
16,19,22,24,27,35,28
18,31,35,38,42,54,41
19,24,26,28,33,8,12
